faculty,college,department,url
Erica Wohldmann,Social & Behavioral Sciences,Department of Psychology,https://www.csun.edu/social-behavioral-sciences/psychology/full-time-faculty
Lauren Willner,Social & Behavioral Sciences,Department of Social and Behavioral Sciences,https://www.csun.edu/social-behavioral-sciences/social-work/full-time-faculty
David Boyns,Social & Behavioral Sciences,Department of Social and Behavioral Sciences,https://www.csun.edu/social-behavioral-sciences/sociology/full-time-faculty
Michael J. Carter,Social & Behavioral Sciences,Department of Social and Behavioral Sciences,https://www.csun.edu/social-behavioral-sciences/sociology/full-time-faculty
Daniela Gerson,Mike Curb College of Arts  Media  & Communication,Department of Journalism,https://www.csun.edu/mike-curb-arts-media-communication/journalism/full-time-faculty
Melissa Wall,Mike Curb College of Arts  Media  & Communication,Department of Journalism,https://www.csun.edu/mike-curb-arts-media-communication/journalism/full-time-faculty
Yue Zheng,Mike Curb College of Arts  Media  & Communication,Department of Journalism,https://www.csun.edu/mike-curb-arts-media-communication/journalism/full-time-faculty
Owen Doonan,Mike Curb College of Arts  Media  & Communication,Department of Art,https://www.csun.edu/mike-curb-arts-media-communication/art/faculty-staff
Meiqin Wang,Mike Curb College of Arts  Media  & Communication,Department of Art,https://www.csun.edu/mike-curb-arts-media-communication/art/faculty-staff
Shereazad Jimmy Gandhi, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Bingbing Li, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Mark Rajai, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Maryam Tabibzadeh, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Durul Ulutan, Engineering & Computer Science, Department of Manufacturing Systems Engineering & Management, https://www.csun.edu/engineering-computer-science/manufacturing-systems-engineering-management/full-time-faculty
Larry Allen, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Chhandak Basu, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
David Bermudes, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Robert Espinoza, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
David Gray, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Jonathan Kelber, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Rachel Mackelprang, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Crystal Rogers, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Nyssa Silbiger, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
