faculty,college,department,url
Kyle Dewey, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Steven Fitzgerald, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Ani Nahapetian, Engineering & Computer Science, Department of Computer Science, https://www.csun.edu/engineering-computer-science/computer-science/computer-science-faculty
Peter L Bishay, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Hamid Johari, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Shadi Mahjoob, Engineering & Computer Science, Department of Mechanical Engineering, https://www.csun.edu/engineering-computer-science/mechanical-engineering/faculty-listing
Brad Jackson, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Ruting Jia, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Kourosh Sedghisigarchi, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
John Valdovinos, Engineering & Computer Science, Department of Electrical Engineering, https://www.csun.edu/engineering-computer-science/electrical-computer-engineering/faculty-staff
Igor Beloborodov, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Anna Bezryadina, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Debi prasad Choudhary, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Li Gao, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Nicholas Kioussis, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Kah Chun Lau, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Gang Lu, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Yohannes Shiferaw, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Xu Zhang, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Peter Collas, Science and Math, Department of Physics & Astronomy, https://www.csun.edu/science-mathematics/physics-astronomy/full-time-faculty
Lauren Byler, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
John J. Garcia, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Santosh Khadka, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Beth A Wightman, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
William Purdy, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Susan Auerbach, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-leadership-policy-studies/directory
Merril Simon, Michael D. Eisner College of Education, Department of Educational Leadership & Policy Studies, https://www.csun.edu/eisner-education/educational-psychology-counseling/directory
Susan F Belgrad, Michael D. Eisner College of Education, Department of Elementary Education, https://www.csun.edu/eisner-education/elementary-education/directory
