faculty,college,department,url
John Kubler, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Eric Kufs, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Noreen V Lace, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Kathy A Roman, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Rebecca Spitler-Lawson, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Stephanie Lim, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Melisa Malvin, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Susana N Marcelo, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Joanne M Martin, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Terrie D Mathis, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Arthur Maturo, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Richard W Mcginis, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Jacqueline S Meisel, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Lynnette Morinini, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Kitty Nard, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Amber L Norwood, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Linda R Overman, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Trista R Payte, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Sean E Pessin, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Gretchelle Quiambao, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
Amy L Reynolds, College of Humanities, Department of English, https://www.csun.edu/humanities/english/faculty-staff#faculty
