faculty,college,department,url
Cristian Ruiz Rueda, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Paula Schiffman, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Mark Steele, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Nyssa Silbiger, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Mary-Pat Stein, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Michael Summers, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Melissa Takahashi, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Casey terHorst, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cheryl Van Buskirk, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Virginia Vandergon, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Paul Wilson, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Jeremy Yoder, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Maria Elena Zavala, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Maurie Beck, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Ali Ebneshahidi, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Desiree Goetting, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Michael Franklin, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Loni Hands, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cynthia Hitchcock, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
James Hogue, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Dana Harmon, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cynthia Kay-Nishiyama, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Carson Keller, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Karen Koch, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Ernest Kwok, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Janet Kubler, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Paul Lonquich, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Daniel Odom, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Cody Russell, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Georgios Tsounis, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Edward Zambrano, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Michael Abernathy, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Danielle Amoroso, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Chris Chabot, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Sarah Cohen, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Ann Dorsey, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Wendy Dunbarr, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Vickie Everhart, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Marc Felix, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
Manuel Fernandez, Science and Math, Department of Biology, https://www.csun.edu/science-mathematics/biology/faculty-staff
