,Name,sandbox
143,Iris Arvizu,https://www.sandbox.csun.edu/faculty/iris.arvizu
144,Mariane Doyle,https://www.sandbox.csun.edu/faculty/mariane.doyle
145,Sevak Asadorian,https://www.sandbox.csun.edu/faculty/sevak.asadorian
146,Brittany K Asaro,https://www.sandbox.csun.edu/faculty/brittany.asaro
147,John Asatryan,https://www.sandbox.csun.edu/faculty/john.asatryan
148,Ardavan Asef-vaziri,https://www.sandbox.csun.edu/faculty/ardavan.asef-vaziri
149,Richard C Ashby,https://www.sandbox.csun.edu/faculty/craig.ashby
150,Sherilyn Ashena,https://www.sandbox.csun.edu/faculty/sherilyn.ashena
151,Wendy J Ashley,https://www.sandbox.csun.edu/faculty/wendy.ashley
152,Bita Ashtari,https://www.sandbox.csun.edu/faculty/bita.ashtari
153,Tamarah M Ashton,https://www.sandbox.csun.edu/faculty/tamarah.ashton
154,Shoshana C Askren,https://www.sandbox.csun.edu/faculty/shoshana.askren
155,Richard Assad,https://www.sandbox.csun.edu/faculty/richard.assad
156,Christopher J Aston,https://www.sandbox.csun.edu/faculty/christopher.aston
157,Natsuki Atagi,https://www.sandbox.csun.edu/faculty/atagi.natsuki
158,Maryam Atashbar,https://www.sandbox.csun.edu/faculty/maryam.atashbar
159,Joel Athey,https://www.sandbox.csun.edu/faculty/joel.athey
160,Helen Atniel,https://www.sandbox.csun.edu/faculty/helen.atniel
161,Bernardo A Attias,https://www.sandbox.csun.edu/faculty/bernardo.attias
162,Michael Auer,https://www.sandbox.csun.edu/faculty/michael.auer
163,Jeffrey A Auerbach,https://www.sandbox.csun.edu/faculty/jeffrey.auerbach
164,Susan Auerbach,https://www.sandbox.csun.edu/faculty/susan.auerbach
165,Frankie Augustin,https://www.sandbox.csun.edu/faculty/frankline.augustin
166,Jada Augustine,https://www.sandbox.csun.edu/faculty/jada.augustine
167,Mark A Austin,https://www.sandbox.csun.edu/faculty/mark.austin
168,Tamar A Avakian,https://www.sandbox.csun.edu/faculty/tamar.avakian
169,Wesley H Avery,https://www.sandbox.csun.edu/faculty/wesley.avery
170,Anna Avetisyan,https://www.sandbox.csun.edu/faculty/anna.avetisyan
171,Anna Avetisyan,https://www.sandbox.csun.edu/faculty/anna.avetisyan.565
172,Guillermo G Aviles,https://www.sandbox.csun.edu/faculty/g.avilesrodriguez
173,Gabriel P Axarlian,https://www.sandbox.csun.edu/faculty/gabriel.axarlian
174,Joseph Ayala,https://www.sandbox.csun.edu/faculty/joseph.ayala
175,Christina U Ayala-alcantar,https://www.sandbox.csun.edu/faculty/christina.ayala-alcantar
176,Carolyn Ayrapetyan,https://www.sandbox.csun.edu/faculty/carolyn.ayrapetyan
177,Wafa Azeem,https://www.sandbox.csun.edu/faculty/wafa.azeem
178,Jessica S Azizi,https://www.sandbox.csun.edu/faculty/jessica.azizi
179,Larbi Azzaz,https://www.sandbox.csun.edu/faculty/larbi.azzaz
180,Arno Babahekian,https://www.sandbox.csun.edu/faculty/arno.babahekian
181,Mahya Babaie,https://www.sandbox.csun.edu/faculty/mahya.babaie
182,Tania Babakhanlou,https://www.sandbox.csun.edu/faculty/tania.babakhanlou
183,Albert R Baca,https://www.sandbox.csun.edu/faculty/albert.baca
184,Joan M Baca,https://www.sandbox.csun.edu/faculty/joan.baca
185,Melanie Badgen,https://www.sandbox.csun.edu/faculty/melanie.badgen
186,Candis Badgley,https://www.sandbox.csun.edu/faculty/candis.badgley
187,Hooshang Bagheri,https://www.sandbox.csun.edu/faculty/hooshang.bagheri
188,Anzhela Baghumyan,https://www.sandbox.csun.edu/faculty/anzhela.baghumyan
189,Jack Bagwell,https://www.sandbox.csun.edu/faculty/jack.bagwell
190,Nasim Bahadorani,https://www.sandbox.csun.edu/faculty/nasim.bahadorani
191,Kaitlin Bahr,https://www.sandbox.csun.edu/faculty/kaitlin.bahr
192,Phyllis karren Baird-olson,https://www.sandbox.csun.edu/faculty/karren.bairdolson
193,Shiva G Bajpai,https://www.sandbox.csun.edu/faculty/shiva.bajpai
194,Talin K Bakalian,https://www.sandbox.csun.edu/faculty/talin.bakalian
195,Jeffrey S Baker,https://www.sandbox.csun.edu/faculty/jeff.baker
196,Katherine R Baker,https://www.sandbox.csun.edu/faculty/katherine.r.baker
197,Robert Baker,https://www.sandbox.csun.edu/faculty/robert.m.baker
198,Jorge Balbas,https://www.sandbox.csun.edu/faculty/jorge.balbas
199,Barney L Bales,https://www.sandbox.csun.edu/faculty/barney.bales
200,John Balian,https://www.sandbox.csun.edu/faculty/john.balian
201,Setrak Balian,https://www.sandbox.csun.edu/faculty/setrak.balian
202,Laura Ballan,https://www.sandbox.csun.edu/faculty/laura.ballan
203,James David Ballard,https://www.sandbox.csun.edu/faculty/james.ballard
204,Silvina Bamrungpong,https://www.sandbox.csun.edu/faculty/silvina.bamrungpong
205,Meeta Banerjee,https://www.sandbox.csun.edu/faculty/meeta.banerjee
206,Wendy F Banks,https://www.sandbox.csun.edu/faculty/wendy.banks
207,Lisa R Banner,https://www.sandbox.csun.edu/faculty/lisa.banner
208,Noelle V Banuelos,https://www.sandbox.csun.edu/faculty/noelle.banuelos
209,Roxanne A Banuelos,https://www.sandbox.csun.edu/faculty/roxanne.banuelos
210,Hasmig Baran,https://www.sandbox.csun.edu/faculty/hasmig.baran
211,Richard Barba,https://www.sandbox.csun.edu/faculty/richard.barba
212,Carolyn K. Barbian,https://www.sandbox.csun.edu/faculty/carolyn.barbian
213,Ingrid Barbullushi,https://www.sandbox.csun.edu/faculty/ingrid.barbullushi
214,Prasanta Barkataki,https://www.sandbox.csun.edu/faculty/shan.barkataki
215,Corinne Barker,https://www.sandbox.csun.edu/faculty/corinne.barker
216,Robert L Barker,https://www.sandbox.csun.edu/faculty/robert.barker
217,Ian Barnard,https://www.sandbox.csun.edu/faculty/ian.barnard
218,Alida Barnes,https://www.sandbox.csun.edu/faculty/alida.barnes
219,Carolyn M Barnes,https://www.sandbox.csun.edu/faculty/carolyn.barnes
220,Mike Barnes,https://www.sandbox.csun.edu/faculty/mike.barnes
221,Eric S Barnhart,https://www.sandbox.csun.edu/faculty/eric.barnhart
222,Matthew Barno,https://www.sandbox.csun.edu/faculty/matthew.barno
223,Dorothy M Barresi,https://www.sandbox.csun.edu/faculty/dorothy.barresi
224,Michael Barrett,https://www.sandbox.csun.edu/faculty/michael.barrett
225,Cecillia Barron,https://www.sandbox.csun.edu/faculty/cecillia.barron
226,Gagik Barsegian,https://www.sandbox.csun.edu/faculty/gagik.barsegian
227,Jerry E Barshay,https://www.sandbox.csun.edu/faculty/jerry.barshay
228,Guillermo Bartelt,https://www.sandbox.csun.edu/faculty/guillermo.bartelt
229,Shelley Bartenstein,https://www.sandbox.csun.edu/faculty/shelley.bartenstein
230,Eli E Bartle,https://www.sandbox.csun.edu/faculty/eli.bartle
231,Michele E Bartlett,https://www.sandbox.csun.edu/faculty/michele.bartlett
232,R. Dianne Bartlow,https://www.sandbox.csun.edu/faculty/dianne.bartlow
233,Azzarina Basarudin,https://www.sandbox.csun.edu/faculty/azzarina.basarudin
234,Babken Basmadzhyan,https://www.sandbox.csun.edu/faculty/babken.basmadzhyan
235,Dr. Chhandak Basu,https://www.sandbox.csun.edu/faculty/chhandak.basu
236,LaShandra Batiste,https://www.sandbox.csun.edu/faculty/lashandra.batiste
237,Conchita Battle,https://www.sandbox.csun.edu/faculty/conchita.battle
238,Holly K Batty,https://www.sandbox.csun.edu/faculty/holly.batty
239,Tanya Batura,https://www.sandbox.csun.edu/faculty/tanya.batura
240,Amanda J Baugh,https://www.sandbox.csun.edu/faculty/amanda.baugh
241,Melissa Baughn,https://www.sandbox.csun.edu/faculty/melissa.baughn
242,Paul Baum,https://www.sandbox.csun.edu/faculty/paul.baum
243,Landon Baumgard,https://www.sandbox.csun.edu/faculty/landon.baumgard
244,Rachel Baumsteiger,https://www.sandbox.csun.edu/faculty/rachel.baumsteiger
245,Joe Bautista,https://www.sandbox.csun.edu/faculty/joseph.bautista
246,Behzad B Bavarian,https://www.sandbox.csun.edu/faculty/behzad.bavarian
247,Kent B Baxter,https://www.sandbox.csun.edu/faculty/kent.baxter
248,Jane H Bayes,https://www.sandbox.csun.edu/faculty/jane.bayes
249,Brett Bayles,https://www.sandbox.csun.edu/faculty/brett.bayles
250,Jon Beadle,https://www.sandbox.csun.edu/faculty/jon.beadle
251,charles bearchell,https://www.sandbox.csun.edu/faculty/charles.bearchell
252,Susan M Beatty,https://www.sandbox.csun.edu/faculty/susan.beatty
253,Suzanne Beaumaster,https://www.sandbox.csun.edu/faculty/suzanne.beaumaster
254,"Veronica Becerra, MS, MA",https://www.sandbox.csun.edu/faculty/veronica.becerra
255,Kristine L Beck,https://www.sandbox.csun.edu/faculty/kristine.beck
256,Maurie J Beck,https://www.sandbox.csun.edu/faculty/maurie.beck
257,Lawrence A Becker,https://www.sandbox.csun.edu/faculty/lawrence.becker
258,Akanksha Bedi,https://www.sandbox.csun.edu/faculty/akanksha.bedi
259,Sosse Bedrossian,https://www.sandbox.csun.edu/faculty/sosse.bedrossian
260,Khashayar Behdinan,https://www.sandbox.csun.edu/faculty/khashayar.behdinan
261,Ali Behnezhad,https://www.sandbox.csun.edu/faculty/ali.behnezhad
262,Ahmad Bekir,https://www.sandbox.csun.edu/faculty/ahmad.bekir
263,Nagwa Bekir,https://www.sandbox.csun.edu/faculty/nagwa.bekir
264,Christina Belcher,https://www.sandbox.csun.edu/faculty/christina.belcher
265,Susan F Belgrad,https://www.sandbox.csun.edu/faculty/susan.belgrad
266,Janna Beling,https://www.sandbox.csun.edu/faculty/janna.beling
267,Jonathan L Bell,https://www.sandbox.csun.edu/faculty/jonathan.bell
268,Cyndee S Bellamy,https://www.sandbox.csun.edu/faculty/cyndee.bellamy
269,"Peter Bellin, PhD, CIH (FERP)",https://www.sandbox.csun.edu/faculty/peter.bellin
270,Igor Beloborodov,https://www.sandbox.csun.edu/faculty/igor.beloborodov
271,Moshe Ben asher,https://www.sandbox.csun.edu/faculty/moshe.asher
272,José Luis Benavides,https://www.sandbox.csun.edu/faculty/jose.benavides
273,Cecile S Bendavid,https://www.sandbox.csun.edu/faculty/cecile.bendavid
274,Aron W Bender,https://www.sandbox.csun.edu/faculty/aron.bender
275,Stephanie M Benjamin,https://www.sandbox.csun.edu/faculty/stephanie.benjamin
276,Cassandra Benkwitt,https://www.sandbox.csun.edu/faculty/cassandra.benkwitt
277,James Bennett,https://www.sandbox.csun.edu/faculty/james.bennett
278,Michael B Bennett,https://www.sandbox.csun.edu/faculty/michael.bennett
279,Michelle F Bennett,https://www.sandbox.csun.edu/faculty/michelle.bennett
280,Paula Bennett,https://www.sandbox.csun.edu/faculty/paula.bennett
281,Ruth A Bennington,https://www.sandbox.csun.edu/faculty/ruth.bennington
282,Cheryl Bensmiller,https://www.sandbox.csun.edu/faculty/cheryl.bensmiller
283,Anna Benson,https://www.sandbox.csun.edu/faculty/anna.benson.2
284,Ilia Benson,https://www.sandbox.csun.edu/faculty/ilia.benson
285,Adriana Benvenuto,https://www.sandbox.csun.edu/faculty/adriana.benvenuto
286,Caitlin L Benyi,https://www.sandbox.csun.edu/faculty/caitlin.benyi
287,Robert Berg,https://www.sandbox.csun.edu/faculty/roberg
288,Jay S Berger,https://www.sandbox.csun.edu/faculty/jay.berger
289,Raqota T Berger,https://www.sandbox.csun.edu/faculty/raqota.berger
290,Roxane I Berger,https://www.sandbox.csun.edu/faculty/roxane.i.berger
291,Wayne Bergeron,https://www.sandbox.csun.edu/faculty/wayne.bergeron
292,Julie A Berghofer,https://www.sandbox.csun.edu/faculty/julie.berghofer
293,Dawit Berhanu,https://www.sandbox.csun.edu/faculty/dawit.berhanu
294,Teri Berkel,https://www.sandbox.csun.edu/faculty/teri.berkel
295,David Berkowitz,https://www.sandbox.csun.edu/faculty/david.berkowitz.44
296,Peter R Berlin,https://www.sandbox.csun.edu/faculty/peter.berlin
297,David G Bermudes,https://www.sandbox.csun.edu/faculty/david.bermudes
298,Sharon K Bernard,https://www.sandbox.csun.edu/faculty/sharon.k.bernard
299,Mark Bernsley,https://www.sandbox.csun.edu/faculty/mark.bernsley
300,Elizabeth B Berry,https://www.sandbox.csun.edu/faculty/elizabeth.berry
301,Jennifer L Berry,https://www.sandbox.csun.edu/faculty/jennifer.berry
302,Tina M Bertacchi-love,https://www.sandbox.csun.edu/faculty/tina.bertacchi-love
303,Amy Bertirotti,https://www.sandbox.csun.edu/faculty/amy.bertirotti
304,Mariano Bertucci,https://www.sandbox.csun.edu/faculty/mariano.bertucci
305,Mariam Beruchashvili,https://www.sandbox.csun.edu/faculty/mariam.beruchashvili
306,Sara R Berzenski,https://www.sandbox.csun.edu/faculty/sara.berzenski
307,Annette A Besnilian,https://www.sandbox.csun.edu/faculty/annette.besnilian
308,Michael S Bessolo,https://www.sandbox.csun.edu/faculty/michael.bessolo
309,Mechelle N Best,https://www.sandbox.csun.edu/faculty/mechelle.best
310,Donald Bethe,https://www.sandbox.csun.edu/faculty/don.bethe
311,Michael A Bevan,https://www.sandbox.csun.edu/faculty/michael.bevan
312,Helina Beyene,https://www.sandbox.csun.edu/faculty/tina.beyene
313,Sumaya Bezrati,https://www.sandbox.csun.edu/faculty/sumaya.bezrati
314,Anna Bezryadina,https://www.sandbox.csun.edu/faculty/anna.bezryadina
315,Sindhuja Bhakthavatsalam,https://www.sandbox.csun.edu/faculty/sindhuja.bhakthavatsalam
316,Manraj Bhatia,https://www.sandbox.csun.edu/faculty/manraj.guliani
317,Vijay J Bhatt,https://www.sandbox.csun.edu/faculty/vijay.bhatt
318,Mayashree Bhaumik,https://www.sandbox.csun.edu/faculty/mayashree.bhaumik
319,Grishma P Bhavsar,https://www.sandbox.csun.edu/faculty/grishma.bhavsar
320,Shiraj Bhinderwala,https://www.sandbox.csun.edu/faculty/shiraj.bhinderwala
321,Solomon Bialeck,https://www.sandbox.csun.edu/faculty/solomon.bialeck
322,James T Bible,https://www.sandbox.csun.edu/faculty/james.bible
323,Stacey E Bieber,https://www.sandbox.csun.edu/faculty/stacey.bieber
324,Larry Biederman,https://www.sandbox.csun.edu/faculty/larry.biederman
325,Dino Biel,https://www.sandbox.csun.edu/faculty/dino.biel.934
326,Michael E Biel,https://www.sandbox.csun.edu/faculty/michael.biel
327,Julie Bien,https://www.sandbox.csun.edu/faculty/julie.bien
328,Carole Biers,https://www.sandbox.csun.edu/faculty/carole.biers
329,Frederick Bigelow,https://www.sandbox.csun.edu/faculty/todd.bigelow
330,Susan Billens-Ivory,https://www.sandbox.csun.edu/faculty/susan.billensivory
331,Nader Binesh,https://www.sandbox.csun.edu/faculty/nader.binesh
332,Brittany M Bingham,https://www.sandbox.csun.edu/faculty/brittany.bingham
333,John H Binkley,https://www.sandbox.csun.edu/faculty/john.binkley
334,George Biriuk,https://www.sandbox.csun.edu/faculty/george.biriuk
335,John T Birmingham,https://www.sandbox.csun.edu/faculty/john.birmingham
336,Peter L Bishay,https://www.sandbox.csun.edu/faculty/peter.bishay
337,Maurice E Bisheff,https://www.sandbox.csun.edu/faculty/maurice.bisheff
338,Erin Bishop,https://www.sandbox.csun.edu/faculty/erin.bishop
339,Nancy Bishop,https://www.sandbox.csun.edu/faculty/nancy.bishop
340,Gregg Bissonette,https://www.sandbox.csun.edu/faculty/gregg.bissonette
341,Tim Black,https://www.sandbox.csun.edu/faculty/tim.black
342,"Blackman, Kacie",https://www.sandbox.csun.edu/faculty/kacie.blackman
343,Caleb C Bladh,https://www.sandbox.csun.edu/faculty/caleb.bladh
344,Robert D Blagg,https://www.sandbox.csun.edu/faculty/robert.blagg
345,Daniel R Blake,https://www.sandbox.csun.edu/faculty/daniel.blake
346,"Tyler Blake, Ph.D.",https://www.sandbox.csun.edu/faculty/tyler.blake
347,"Elizabeth Blakey, J.D., Ph.D.",https://www.sandbox.csun.edu/faculty/elizabeth.blakey
348,Sebastien Blanc,https://www.sandbox.csun.edu/faculty/sebastien.blanc
349,Warren Bland,https://www.sandbox.csun.edu/faculty/warren.bland
350,Howard Bliman,https://www.sandbox.csun.edu/faculty/howard.bliman
351,Jackson Bliss,https://www.sandbox.csun.edu/faculty/jackson.bliss
352,Marshall H Bloom,https://www.sandbox.csun.edu/faculty/marshall.bloom
353,Stephanie A. Bluestein,https://www.sandbox.csun.edu/faculty/stephanie.bluestein
354,Nancy A Blum,https://www.sandbox.csun.edu/faculty/nancy.blum
355,David A Blumenkrantz,https://www.sandbox.csun.edu/faculty/david.blumenkrantz
356,Erik Boccio,https://www.sandbox.csun.edu/faculty/erik.boccio
357,James Bock,https://www.sandbox.csun.edu/faculty/james.bock
