 William L. Kimball,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Heidimarie Lundblad,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 James Macklin,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Mohammad A. Sangeladji,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Ronald Stone,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Gary Stout,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Richard L. Strayer,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Earl J. Weiss,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
 Barbara A. Wilson,College of Business and Economics,Department of Accounting,https://www.csun.edu/acctis/faculty-and-staff-directory
Wei Cao,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Hira Cho,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Jongeun Kim,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Shirley Warren,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Linda Bradley,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Angie Giordano,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Sean Jefferson,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Uma Krishnan,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Heather McCollum,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Scott Williams,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Hessam Ghamari,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Kristin King,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Rodica Kohn,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Annette Besnilian,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Nelida Duran,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Dena Herman-Mendes,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Claudia Fajardo-Lira,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Marine Boyadzhyan,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Pastor Herrera,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Erin Matthews-Maxwell,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Yali Yang,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Joyce Marie Brusasco,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Christa Dunlap,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Cheryl Etting,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Shelly Gray,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Terry Hatkoff,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Liza Keating,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Erin Matthews-Maxwell,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Roxane Berger,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Anu Thakur,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Amanda Blake,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Ava McKay,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Karmen Ovsepyan,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Roya Pouldar,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Jullie Ellis,Health & Human Development,Department of Family and Consumer Studies,https://www.csun.edu/health-human-development/family-consumer-sciences/faculty-staff
Talin Bakalian ,Health & Human Development,Department of Nursing,https://www.csun.edu/nursing/faculty-staff
Jon Christensen,Health & Human Development,Department of Nursing,https://www.csun.edu/nursing/faculty-staff
Rosine Der-Tavitian,Health & Human Development,Department of Nursing,https://www.csun.edu/nursing/faculty-staff
Grace Castaneda,Health & Human Development,Department of Nursing,https://www.csun.edu/nursing/faculty-staff
Sterling Davis,Health & Human Development,Department of Nursing,https://www.csun.edu/nursing/faculty-staff
Gabriel Tiscareno,Health & Human Development,Department of Nursing,https://www.csun.edu/nursing/faculty-staff
Stan Conte,Health & Human Development,Department of Physical Therapy,https://www.csun.edu/health-human-development/physical-therapy/adjunct-faculty
 Mu-Sheng Chang,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 James Chong,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 James P. Dow,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 M. Monica Hussein (Her),College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 Yanbo Jin,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 G. Michael Phillips,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
 David T. Russell,College of Business and Economics,Department of Finance,https://www.csun.edu/finance/faculty-directory
